"iso2c","country","NY.GDP.PCAP.KD","year"
"US","United States",28589.6727279129,1980
"US","United States",28939.639937793,1979
"US","United States",28362.7717986387,1978
"US","United States",27161.4266860093,1977
"US","United States",26223.3764450662,1976
"US","United States",25120.2308496895,1975
"US","United States",25421.3696704294,1974
"US","United States",25794.1281658637,1973
"US","United States",24649.8447359645,1972
"US","United States",23670.3457327086,1971
"US","United States",23207.2199359187,1970
"US","United States",23538.9734066604,1969
"US","United States",23055.4160938063,1968
"US","United States",22220.1989520695,1967
"US","United States",21915.5830239318,1966
"US","United States",20817.0439146121,1965
"US","United States",19811.0209339622,1964
"US","United States",18986.885856762,1963
"US","United States",18450.3009304636,1962
"US","United States",17659.0569762807,1961
"US","United States",17550.5731641209,1960
